date,open (amzn),high (amzn),low (amzn),close (amzn),volume (amzn),open (goog),high (goog),low (goog),close (goog),volume (goog),open (meta),high (meta),low (meta),close (meta),volume (meta),open (nvda),high (nvda),low (nvda),close (nvda),volume (nvda),open (orcl),high (orcl),low (orcl),close (orcl),volume (orcl),open (tsla),high (tsla),low (tsla),close (tsla),volume (tsla)
2019-12-02,1804.4,1805.55,1762.68,1781.6,3931750.0,1301.0,1305.83,1281.0,1289.92,1511851.0,202.13,202.18,198.05,199.7,11542020.0,216.46,217.0,208.64,209.25,9346742.0,56.23,56.46,55.38,55.43,14313982.0,329.4,336.38,328.69,334.87,6081986.0
2019-12-03,1760.0,1772.87,1747.23,1769.96,3529582.0,1279.57,1298.461,1279.0,1295.28,1268647.0,197.6,198.93,195.08,198.82,13014170.0,201.87,207.82,200.37,207.66,11853653.0,54.62,54.99,54.46,54.59,14320507.0,332.62,337.91,332.19,336.2,6613476.0
2019-12-04,1774.01,1789.09,1760.22,1760.69,2680700.0,1307.01,1325.8,1304.87,1320.54,1538110.0,200.0,200.03,198.05,198.71,8459939.0,211.02,211.92,208.27,209.42,6840459.0,54.9,54.9,54.18,54.41,11436774.0,337.75,337.86,332.85,333.03,5536255.0
2019-12-05,1763.5,1763.5,1740.0,1740.48,2827852.0,1328.0,1329.358,1316.44,1328.13,1212818.0,199.86,201.29,198.21,199.36,9755350.0,210.3,210.93,207.51,208.74,4628444.0,54.5,54.83,54.3,54.68,10557403.0,332.83,334.42,327.25,330.37,3736976.0
2019-12-06,1751.2,1754.4,1740.13,1751.6,3119979.0,1333.44,1344.0,1333.44,1340.62,1315510.0,200.5,201.57,200.06,201.05,12279525.0,211.52,213.49,211.12,212.17,5810457.0,55.03,55.13,54.61,54.83,9088555.0,335.0,338.86,334.77,335.89,7618937.0
2019-12-09,1750.66,1766.89,1745.61,1749.51,2502489.0,1338.04,1359.45,1337.84,1343.56,1355795.0,200.65,203.14,200.21,201.34,12013218.0,211.25,214.37,210.9,212.17,5378320.0,54.84,55.48,54.76,55.31,11996705.0,336.59,344.45,335.08,339.53,9040217.0
2019-12-10,1747.4,1750.67,1735.0,1739.21,2515644.0,1341.5,1349.975,1336.04,1344.66,1094653.0,201.66,202.05,200.15,200.87,9485568.0,213.38,216.06,211.26,213.98,6417228.0,55.4,55.91,55.23,55.82,10719699.0,339.96,350.73,339.31,348.84,8839951.0
2019-12-11,1741.67,1750.0,1735.71,1748.72,2101318.0,1350.84,1351.2,1342.67,1345.02,850796.0,200.28,202.63,200.28,202.26,8041827.0,214.4,217.56,214.3,217.34,5850247.0,55.8,56.5,55.65,56.31,12092246.0,351.88,357.19,351.09,352.7,6919162.0
2019-12-12,1750.0,1764.0,1745.44,1760.33,3103949.0,1345.94,1355.775,1340.5,1350.27,1281722.0,202.35,203.66,194.1,196.75,23766986.0,216.18,224.8,215.82,224.07,10152084.0,56.3,56.66,55.76,56.47,15405644.0,354.92,362.74,353.23,359.68,7776211.0
2019-12-13,1765.0,1768.99,1755.0,1760.94,2747909.0,1347.95,1353.093,1343.87,1347.83,1550028.0,196.4,196.8,193.17,194.11,18806020.0,224.19,228.98,221.82,223.99,11374183.0,55.0,55.4,54.42,54.51,21426748.0,361.05,365.21,354.64,358.39,6574281.0
