date,open (amzn),high (amzn),low (amzn),close (amzn),volume (amzn),open (goog),high (goog),low (goog),close (goog),volume (goog),open (meta),high (meta),low (meta),close (meta),volume (meta),open (nvda),high (nvda),low (nvda),close (nvda),volume (nvda),open (orcl),high (orcl),low (orcl),close (orcl),volume (orcl),open (tsla),high (tsla),low (tsla),close (tsla),volume (tsla)
2019-12-02,90.22,90.2775,88.134,89.08,3931750.0,65.05,65.2915,64.05,64.49600000000001,1511851.0,202.13,202.18,198.05,199.7,11542020.0,5.4115,5.425,5.215999999999999,5.23125,9346742.0,56.23,56.46,55.38,55.43,14313982.0,21.959999999999997,22.425333333333334,21.912666666666667,22.324666666666666,6081986.0
2019-12-03,88.0,88.64349999999999,87.3615,88.498,3529582.0,63.9785,64.92305,63.95,64.764,1268647.0,197.6,198.93,195.08,198.82,13014170.0,5.04675,5.1955,5.00925,5.1915,11853653.0,54.62,54.99,54.46,54.59,14320507.0,22.174666666666667,22.527333333333335,22.146,22.413333333333334,6613476.0
2019-12-04,88.7005,89.4545,88.011,88.03450000000001,2680700.0,65.3505,66.28999999999999,65.2435,66.027,1538110.0,200.0,200.03,198.05,198.71,8459939.0,5.2755,5.298,5.20675,5.2355,6840459.0,54.9,54.9,54.18,54.41,11436774.0,22.516666666666666,22.524,22.19,22.201999999999998,5536255.0
2019-12-05,88.175,88.175,87.0,87.024,2827852.0,66.4,66.4679,65.822,66.40650000000001,1212818.0,199.86,201.29,198.21,199.36,9755350.0,5.2575,5.27325,5.187749999999999,5.218500000000001,4628444.0,54.5,54.83,54.3,54.68,10557403.0,22.188666666666666,22.294666666666668,21.816666666666666,22.02466666666667,3736976.0
2019-12-06,87.56,87.72,87.0065,87.58,3119979.0,66.672,67.2,66.672,67.03099999999999,1315510.0,200.5,201.57,200.06,201.05,12279525.0,5.288,5.33725,5.2780000000000005,5.30425,5810457.0,55.03,55.13,54.61,54.83,9088555.0,22.333333333333332,22.590666666666667,22.317999999999998,22.392666666666667,7618937.0
2019-12-09,87.533,88.34450000000001,87.28049999999999,87.4755,2502489.0,66.902,67.9725,66.892,67.178,1355795.0,200.65,203.14,200.21,201.34,12013218.0,5.28125,5.35925,5.2725,5.30425,5378320.0,54.84,55.48,54.76,55.31,11996705.0,22.43933333333333,22.96333333333333,22.338666666666665,22.63533333333333,9040217.0
2019-12-10,87.37,87.5335,86.75,86.9605,2515644.0,67.075,67.49875,66.80199999999999,67.233,1094653.0,201.66,202.05,200.15,200.87,9485568.0,5.3345,5.4015,5.281499999999999,5.3495,6417228.0,55.4,55.91,55.23,55.82,10719699.0,22.663999999999998,23.382,22.62066666666667,23.255999999999997,8839951.0
2019-12-11,87.0835,87.5,86.7855,87.436,2101318.0,67.542,67.56,67.1335,67.251,850796.0,200.28,202.63,200.28,202.26,8041827.0,5.36,5.439,5.3575,5.4335,5850247.0,55.8,56.5,55.65,56.31,12092246.0,23.458666666666666,23.812666666666665,23.406,23.513333333333332,6919162.0
2019-12-12,87.5,88.2,87.272,88.0165,3103949.0,67.297,67.78875000000001,67.025,67.5135,1281722.0,202.35,203.66,194.1,196.75,23766986.0,5.4045000000000005,5.62,5.3955,5.60175,10152084.0,56.3,56.66,55.76,56.47,15405644.0,23.661333333333335,24.182666666666666,23.54866666666667,23.978666666666665,7776211.0
2019-12-13,88.25,88.4495,87.75,88.047,2747909.0,67.39750000000001,67.65465,67.1935,67.3915,1550028.0,196.4,196.8,193.17,194.11,18806020.0,5.60475,5.7245,5.5455,5.59975,11374183.0,55.0,55.4,54.42,54.51,21426748.0,24.07,24.34733333333333,23.642666666666667,23.892666666666667,6574281.0
2019-12-16,88.35,88.475,87.85249999999999,88.4605,3149345.0,67.825,68.23400000000001,67.6335,68.05850000000001,1397451.0,195.27,199.12,194.81,197.92,14922733.0,5.6475,5.7015,5.61925,5.62875,8032684.0,54.6,54.98,53.7,53.99,19950161.0,24.17,25.574,24.166666666666668,25.433333333333334,18220940.0
2019-12-17,88.9005,89.6,88.8695,89.533,3646697.0,68.14450000000001,68.25,67.56615000000001,67.756,1855259.0,198.84,199.0,196.13,198.39,10177605.0,5.6475,5.7299999999999995,5.638,5.70725,8081598.0,53.89,54.06,52.83,52.84,19778245.0,25.266000000000002,25.7,25.06,25.266000000000002,8503775.0
2019-12-18,89.751,89.91,89.118,89.2015,3354137.0,67.83,68.0235,67.55,67.631,1657069.0,200.09,204.3,200.09,202.5,23284746.0,5.74225,5.7985,5.73375,5.73775,8606969.0,53.06,53.61,52.95,53.39,14122979.0,25.375333333333334,26.348000000000003,25.372,26.209999999999997,14136392.0
2019-12-19,89.025,89.6495,88.703,89.614,2738320.0,67.591,67.905,67.44924999999999,67.80199999999999,1470112.0,202.78,206.3,202.51,206.06,16808184.0,5.7725,5.9,5.7675,5.8865,11327674.0,53.3,53.6,53.04,53.24,11910106.0,26.488,27.123333333333335,26.433333333333334,26.936,18120307.0
2019-12-20,89.981,90.1485,89.1225,89.325,5152460.0,68.16749999999999,68.182,67.45,67.4795,3316905.0,207.48,207.71,203.43,206.3,27315226.0,5.95325,6.0097499999999995,5.934,5.98425,15084607.0,53.91,53.95,53.35,53.6,27423569.0,27.352666666666668,27.533333333333335,26.679333333333332,27.03933333333333,14785206.0
2019-12-23,89.413,89.65,89.2255,89.65,2137493.0,67.7935,67.99,67.3255,67.442,883200.0,206.7,208.59,205.68,206.18,13353194.0,6.013,6.04525,5.95975,5.9704999999999995,8884815.0,53.65,54.07,53.61,53.71,10591499.0,27.451999999999998,28.134,27.333333333333332,27.948,13332821.0
