,1. open,2. high,3. low,4. close,5. volume
2019-12-02,1301.0000,1305.8300,1281.0000,1289.9200,1511851
2019-12-03,1279.5700,1298.4610,1279.0000,1295.2800,1268647
2019-12-04,1307.0100,1325.8000,1304.8700,1320.5400,1538110
2019-12-05,1328.0000,1329.3580,1316.4400,1328.1300,1212818
2019-12-06,1333.4400,1344.0000,1333.4400,1340.6200,1315510
2019-12-09,1338.0400,1359.4500,1337.8400,1343.5600,1355795
2019-12-10,1341.5000,1349.9750,1336.0400,1344.6600,1094653
2019-12-11,1350.8400,1351.2000,1342.6700,1345.0200,850796
2019-12-12,1345.9400,1355.7750,1340.5000,1350.2700,1281722
2019-12-13,1347.9500,1353.0930,1343.8700,1347.8300,1550028
2019-12-16,1356.5000,1364.6800,1352.6700,1361.1700,1397451
2019-12-17,1362.8900,1365.0000,1351.3230,1355.1200,1855259
2019-12-18,1356.6000,1360.4700,1351.0000,1352.6200,1657069
2019-12-19,1351.8200,1358.1000,1348.9850,1356.0400,1470112
2019-12-20,1363.3500,1363.6400,1349.0000,1349.5900,3316905
2019-12-23,1355.8700,1359.8000,1346.5100,1348.8400,883200
2019-12-24,1348.5000,1350.2600,1342.7800,1343.5600,347518
2019-12-26,1346.1700,1361.3270,1344.4700,1360.4000,667754
2019-12-27,1362.9900,1364.5300,1349.3100,1351.8900,1038718
2019-12-30,1350.0000,1353.0000,1334.0200,1336.1400,1051323
2019-12-31,1330.1100,1338.0000,1329.0850,1337.0200,962468
2020-01-02,1341.5500,1368.1400,1341.5500,1367.3700,1406731
2020-01-03,1347.8600,1372.5000,1345.5440,1360.6600,1187006
2020-01-06,1350.0000,1396.5000,1350.0000,1394.2100,1733149
2020-01-07,1397.9400,1402.9900,1390.3800,1393.3400,1511693
2020-01-08,1392.0800,1411.5800,1390.8400,1404.3200,1529177
2020-01-09,1420.5700,1427.3300,1410.2700,1419.8300,1502664
2020-01-10,1427.5600,1434.9290,1418.3500,1429.7300,1821566
2020-01-13,1436.1300,1440.5200,1426.0200,1439.2300,1378286
2020-01-14,1439.0100,1441.8000,1428.3700,1430.8800,1560453
