,1. open,2. high,3. low,4. close,5. volume
2019-12-02,329.4000,336.3800,328.6900,334.8700,6081986
2019-12-03,332.6200,337.9100,332.1900,336.2000,6613476
2019-12-04,337.7500,337.8600,332.8500,333.0300,5536255
2019-12-05,332.8300,334.4200,327.2500,330.3700,3736976
2019-12-06,335.0000,338.8600,334.7700,335.8900,7618937
2019-12-09,336.5900,344.4500,335.0800,339.5300,9040217
2019-12-10,339.9600,350.7300,339.3100,348.8400,8839951
2019-12-11,351.8800,357.1900,351.0900,352.7000,6919162
2019-12-12,354.9200,362.7400,353.2300,359.6800,7776211
2019-12-13,361.0500,365.2100,354.6400,358.3900,6574281
2019-12-16,362.5500,383.6100,362.5000,381.5000,18220940
2019-12-17,378.9900,385.5000,375.9000,378.9900,8503775
2019-12-18,380.6300,395.2200,380.5800,393.1500,14136392
2019-12-19,397.3200,406.8500,396.5000,404.0400,18120307
2019-12-20,410.2900,413.0000,400.1900,405.5900,14785206
2019-12-23,411.7800,422.0100,410.0000,419.2200,13332821
2019-12-24,418.3600,425.4700,412.6900,425.2500,8054720
2019-12-26,427.9100,433.4800,426.3500,430.9400,10648289
2019-12-27,435.0000,435.3100,426.1100,430.3800,9956827
2019-12-30,428.7900,429.0000,409.2600,414.7000,12601265
2019-12-31,405.0000,421.2900,402.0800,418.3300,10292456
2020-01-02,424.5000,430.7000,421.7100,430.2600,9558386
2020-01-03,440.5000,454.0000,436.9200,443.0100,17794697
2020-01-06,440.4700,451.5600,440.0000,451.5400,10157499
2020-01-07,461.4000,471.6300,453.3600,469.0600,18209138
2020-01-08,473.7000,498.4900,468.2300,492.1400,31199393
2020-01-09,497.1000,498.8000,472.8700,481.3400,28463186
2020-01-10,481.7900,484.9400,473.7000,478.1500,12976832
2020-01-13,493.5000,525.6300,492.0000,524.8600,26307458
2020-01-14,544.2600,547.4100,524.9000,537.9200,29061377
2020-01-15,529.7600,537.8400,516.7900,518.5000,17368831
2020-01-16,493.7500,514.4600,492.1700,513.4900,21736653
2020-01-17,507.6100,515.6700,503.1600,510.5000,13629073
2020-01-21,530.2500,548.5800,528.4100,547.2000,17447270
2020-01-22,571.8900,594.5000,559.1000,569.5600,31369028
2020-01-23,564.2500,582.0000,555.6000,572.2000,19651042
2020-01-24,570.6300,573.8600,554.2600,564.8200,14353600
2020-01-27,541.9900,564.4400,539.2800,558.0200,13608068
2020-01-28,568.4900,576.8100,558.0800,566.9000,11788493
2020-01-29,575.6900,589.8000,567.4300,580.9900,18216672
2020-01-30,632.4200,650.8800,618.0000,640.8100,29005676
2020-01-31,640.0000,653.0000,632.5200,650.5700,15719266
2020-02-03,673.6900,786.1400,673.5200,780.0000,47233495
2020-02-04,882.9600,968.9900,833.8800,887.0600,60938758
2020-02-05,823.2600,845.9800,704.1100,734.7000,48423837
2020-02-06,699.9200,795.8300,687.0000,748.9600,39880752
2020-02-07,730.5500,769.7500,730.0000,748.0700,17063521
2020-02-10,800.0000,819.9900,752.4000,771.2800,24689163
2020-02-11,768.7900,783.5100,758.0000,774.3800,11697473
2020-02-12,777.8700,789.7500,763.3700,767.2900,12022470
2020-02-13,741.8400,818.0000,735.0000,804.0000,26289348
2020-02-14,787.2200,812.9700,785.5000,800.0300,15693711
2020-02-18,841.6000,860.0000,832.3600,858.4000,16698369
2020-02-19,923.5000,944.7800,901.0200,917.4200,25422958
2020-02-20,911.9500,912.0000,859.9400,899.4100,17634893
2020-02-21,906.9800,913.0600,880.4500,901.0000,14339446
2020-02-24,839.0000,863.5000,822.2000,833.7900,15192163
2020-02-25,849.0000,856.6000,787.0000,799.9100,17290481
2020-02-26,782.5000,813.3100,776.1100,778.8000,14153843
2020-02-27,730.0000,739.7700,669.0000,679.0000,24277160
2020-02-28,629.7000,690.5200,611.5200,667.9900,24564171
2020-03-02,711.2600,743.6900,686.6700,743.6200,20194991
2020-03-03,805.0000,806.9800,716.1100,745.5100,25784003
2020-03-04,763.9600,766.5200,724.7300,749.5000,15048977
2020-03-05,723.7700,745.7500,718.0700,724.5400,10852657
2020-03-06,690.0000,707.0000,684.2700,703.4800,12662918
2020-03-09,605.3900,663.0000,605.0000,608.0000,17073740
2020-03-10,659.4300,668.0000,608.0000,645.3300,15594443
2020-03-11,640.2000,653.5800,613.0000,634.2300,13413587
2020-03-12,580.8900,594.5000,546.2500,560.5500,18909052
2020-03-13,595.0000,607.5700,502.0000,546.6200,22640254
2020-03-16,469.5000,494.8700,442.1700,445.0700,20489464
2020-03-17,440.0100,471.8500,396.0000,430.2000,23994580
2020-03-18,389.0000,404.8600,350.5100,361.2200,23625005
2020-03-19,374.7000,452.0000,358.4600,427.6400,30195460
2020-03-20,438.2000,477.0000,425.7900,427.5300,28285502
2020-03-23,433.6000,442.0000,410.5000,434.2900,16454549
2020-03-24,477.3000,513.6900,474.0000,505.0000,22895170
2020-03-25,545.2500,557.0000,511.1100,539.2500,21222745
2020-03-26,547.3900,560.0000,512.2500,528.1600,17422082
2020-03-27,505.0000,525.8000,494.0300,514.3600,14377408
2020-03-30,510.2600,516.6500,491.2300,502.1300,11998067
2020-03-31,501.2500,542.9600,497.0000,524.0000,17771485
2020-04-01,504.0000,513.9500,475.1000,481.5600,13353180
2020-04-02,481.0300,494.2600,446.4000,454.4700,19858427
2020-04-03,509.5000,515.4900,468.3900,480.0100,22562076
2020-04-06,511.2000,521.0000,497.9600,516.2400,14901836
2020-04-07,545.0000,565.0000,532.3400,545.4500,17919784
2020-04-08,554.2000,557.2100,533.3300,548.8400,12656024
2020-04-09,562.0900,575.1800,557.1100,573.0000,13650000
2020-04-13,590.1600,652.0000,580.5300,650.9500,22475421
2020-04-14,698.9700,741.8800,692.4300,709.8900,30576511
2020-04-15,742.0000,753.1300,710.0000,729.8300,23577001
2020-04-16,716.9400,759.4500,706.7200,745.2100,20657862
2020-04-17,772.2800,774.9500,747.6600,753.8900,13128237
2020-04-20,732.7000,765.5700,712.2100,746.3600,14746577
2020-04-21,730.1200,753.3300,673.7900,686.7200,20209093
2020-04-22,703.9800,734.0000,688.7100,732.1100,14224831
2020-04-23,727.6000,734.0000,703.1300,705.6300,13236697
2020-04-24,710.8100,730.7300,698.1800,725.1500,13237612
2020-04-27,737.6100,799.4900,735.0000,798.7500,20681442
2020-04-28,795.6400,805.0000,756.6900,769.1200,15221964
2020-04-29,790.1700,803.2000,783.1600,800.5100,16215982
2020-04-30,855.1900,869.8200,763.5000,781.8800,28471854
2020-05-01,755.0000,772.7700,683.0400,701.3200,32531807
2020-05-04,701.0000,762.0000,698.0000,761.1900,19237090
2020-05-05,789.7900,798.9200,762.1800,768.2100,16991656
2020-05-06,776.5000,789.8000,761.1100,782.5800,11123231
2020-05-07,777.2100,796.4000,772.3500,780.0400,11527686
2020-05-08,793.7700,824.0000,787.0100,819.4200,16130087
2020-05-11,790.5100,824.0000,785.0000,811.2900,16519601
2020-05-12,827.0000,843.2900,808.0000,809.4100,15906905
2020-05-13,820.8300,826.0000,763.3000,790.9600,19065491
2020-05-14,780.0000,803.3600,764.0000,803.3300,13682188
2020-05-15,790.3500,805.0500,786.5500,799.1700,10518428
2020-05-18,827.7800,834.7200,803.8800,813.6300,11698102
2020-05-19,815.1700,822.0700,806.0800,808.0100,9636522
2020-05-20,820.5000,826.0000,811.8000,815.5600,7309271
2020-05-21,816.0000,832.5000,796.0000,827.6000,12182524
2020-05-22,822.1700,831.7800,812.0000,816.8800,9987475
2020-05-26,834.5000,834.6000,815.7100,818.8700,8089736
2020-05-27,820.8600,827.7100,785.0000,820.2300,11549530
2020-05-28,813.5100,824.7500,801.6900,805.8100,7275774
2020-05-29,808.7500,835.0000,804.2100,835.0000,11812489
2020-06-01,858.0000,899.0000,854.1000,898.1000,15085297
2020-06-02,894.7000,908.6600,871.0000,881.5600,13565596
2020-06-03,888.1200,897.9400,880.1000,882.9600,7949469
2020-06-04,889.8800,895.7500,858.4400,864.3800,8887713
2020-06-05,877.8400,886.5200,866.2000,885.6600,7811917
2020-06-08,919.0000,950.0000,909.1600,949.9200,14174727
2020-06-09,940.0100,954.4400,923.9300,940.6700,11388154
2020-06-10,991.8800,1027.4800,982.5000,1025.0500,18563413
2020-06-11,990.2000,1018.9600,972.0000,972.8400,15916482
2020-06-12,980.0000,987.9800,912.6000,935.2800,16763374
2020-06-15,917.7900,998.8400,908.5000,990.9000,15697178
2020-06-16,1011.8500,1012.8800,962.3900,982.1300,14051078
2020-06-17,987.7100,1005.0000,982.5700,991.7900,9890800
2020-06-18,1003.0000,1019.2000,994.4700,1003.9600,9751936
2020-06-19,1012.7800,1015.9700,991.3400,1000.9000,8679749
2020-06-22,999.9500,1008.8800,990.0200,994.3200,6362350
2020-06-23,998.8800,1012.0000,994.0100,1001.7800,6365271
2020-06-24,994.1100,1000.8800,953.1400,960.8500,10959593
2020-06-25,954.2700,985.9800,937.1500,985.9800,9254549
2020-06-26,994.7800,995.0000,954.8700,959.7400,8854908
2020-06-29,969.0100,1010.0000,948.5201,1009.3500,9026404
2020-06-30,1006.5000,1087.6900,1003.7300,1079.8100,16918501
2020-07-01,1083.0000,1135.3300,1080.5000,1119.6300,13326897
2020-07-02,1221.4800,1228.0000,1185.6000,1208.6600,17250127
2020-07-06,1276.6900,1377.7900,1266.0400,1371.5800,20570284
2020-07-07,1405.0100,1429.5000,1336.7100,1389.8600,21493301
2020-07-08,1405.0000,1417.2600,1311.3400,1365.8800,16330188
2020-07-09,1396.9900,1408.5600,1351.2800,1394.2800,11718292
2020-07-10,1396.0000,1548.9200,1376.0100,1544.6500,23346353
2020-07-13,1659.0000,1794.9900,1471.1100,1497.0600,39003179
2020-07-14,1556.0000,1590.0000,1431.0000,1516.8000,23428079
2020-07-15,1543.0000,1550.0000,1457.0000,1546.0100,16368690
2020-07-16,1477.1600,1531.7100,1466.0000,1500.6400,14300795
2020-07-17,1513.4500,1537.5100,1490.0000,1500.8400,9332637
2020-07-20,1519.0100,1650.0000,1488.0000,1643.0000,16697299
2020-07-21,1639.9300,1675.0000,1558.0000,1568.3600,16029826
2020-07-22,1599.0000,1626.4200,1562.0000,1592.3300,14161080
2020-07-23,1678.9500,1689.0000,1480.7700,1513.0700,24328504
2020-07-24,1416.0100,1465.0000,1366.5401,1417.0000,19396616
2020-07-27,1435.0000,1547.9400,1413.0003,1539.6000,16048669
2020-07-28,1504.0000,1564.7000,1474.4200,1476.4900,15808700
2020-07-29,1501.0000,1534.8100,1487.0000,1499.1100,9426893
2020-07-30,1488.0000,1513.2400,1471.0000,1487.4900,7621039
2020-07-31,1515.0000,1517.0500,1420.9800,1430.7600,12246960
2020-08-03,1449.2000,1509.8101,1444.3844,1485.0000,8809346
2020-08-04,1495.0100,1527.4100,1462.0000,1487.0000,8414990
2020-08-05,1492.9900,1499.8384,1468.3100,1485.0200,4978015
2020-08-06,1490.8300,1517.3100,1477.2600,1489.5800,5992313
2020-08-07,1499.5365,1499.7500,1415.0100,1452.7100,8896420
2020-08-10,1448.0000,1457.5000,1385.8400,1418.5700,7522264
2020-08-11,1396.0000,1420.0000,1365.0000,1374.3900,8625834
2020-08-12,1470.0000,1585.0000,1435.0000,1554.7600,21898834
2020-08-13,1611.0000,1651.1800,1567.2600,1621.0000,20425308
2020-08-14,1664.9900,1668.8000,1626.6400,1650.7100,12577614
2020-08-17,1677.0000,1845.8600,1672.8300,1835.6400,20023104
2020-08-18,1898.9900,1923.9000,1845.1100,1887.0900,16474491
2020-08-19,1865.0000,1911.0000,1841.2100,1878.5300,12205331
2020-08-20,1860.6800,2021.9900,1857.0600,2001.8300,20611796
2020-08-21,2044.7600,2095.4900,2025.0500,2049.9800,21489559
2020-08-24,2126.2750,2129.0000,1927.5200,2014.2000,20063621
2020-08-25,1974.8900,2027.9500,1968.0000,2023.3400,10658893
2020-08-26,2060.0000,2166.0000,2053.6291,2153.1700,14239382
2020-08-27,2180.4600,2295.6000,2142.5000,2238.7500,23693043
2020-08-28,2295.1200,2318.4900,2186.5200,2213.4000,20081176
2020-08-31,444.6100,500.1400,440.1100,498.3200,115847020
2020-09-01,502.1400,502.4900,470.5100,475.0500,90119419
2020-09-02,478.9900,479.0400,405.1206,447.3700,96176128
2020-09-03,407.2300,431.8000,402.0000,407.0000,87596086
2020-09-04,402.8100,428.0000,372.0201,418.3200,110321885
2020-09-08,356.0000,368.7400,329.8800,330.2100,115465691
2020-09-09,356.6000,369.0000,341.5100,366.2800,79465769
2020-09-10,386.2100,398.9900,360.5600,371.3400,84930608
2020-09-11,381.9400,382.5000,360.5000,372.7200,60717459
2020-09-14,380.9500,420.0000,373.3000,419.6200,83020608
2020-09-15,436.5600,461.9400,430.7000,449.7600,97298228
2020-09-16,439.8700,457.7900,435.3100,441.7600,72546760
2020-09-17,415.6000,437.7900,408.0001,423.4300,76779163
2020-09-18,447.9400,451.0000,428.8000,442.1500,86406819
2020-09-21,453.1300,455.6800,407.0700,449.3900,109476800
2020-09-22,429.6000,437.7600,417.6001,424.2300,79580795
2020-09-23,405.1600,412.1500,375.8801,380.3600,95074176
2020-09-24,363.8000,399.5000,351.3000,387.7900,96561061
2020-09-25,393.4700,408.7323,391.3000,407.3400,67208459
2020-09-28,424.6200,428.0800,415.5500,421.2000,49719561
2020-09-29,416.0000,428.5000,411.6000,419.0700,50341404
2020-09-30,421.3200,433.9300,420.4700,429.0100,48145566
2020-10-01,440.7600,448.8800,434.4200,448.1600,50741454
2020-10-02,421.3900,439.1300,415.0000,415.0900,71430025
2020-10-05,423.3500,433.6400,419.3300,425.6800,44722786
2020-10-06,423.7900,428.7799,406.0500,413.9800,49146259
2020-10-07,419.8700,429.9000,413.8450,425.3000,43127709
2020-10-08,438.4400,439.0000,425.3000,425.9200,40421116
2020-10-09,430.1300,434.5899,426.4601,434.0000,28925656
2020-10-12,442.0000,448.7400,438.5800,442.3000,38791133
2020-10-13,443.3500,448.8900,436.6000,446.6500,34463665
2020-10-14,449.7800,465.9000,447.3500,461.3000,48045394
2020-10-15,450.3100,456.5700,442.5000,448.8800,35672354
2020-10-16,454.4400,455.9499,438.8500,439.6700,32775879
2020-10-19,446.2400,447.0000,428.8700,430.8300,36287843
2020-10-20,431.7500,431.7500,419.0501,421.9400,31656289
2020-10-21,422.7000,432.9500,421.2500,422.6400,32370461
2020-10-22,441.9200,445.2300,424.5100,425.7900,39993191
2020-10-23,421.8400,422.8859,407.3801,420.6300,33716980
2020-10-26,411.6300,425.7600,410.0000,420.2800,28239161
2020-10-27,423.7600,430.5000,420.1000,424.6800,22686506
2020-10-28,416.4800,418.6000,406.0000,406.0200,25451409
